SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22020,1629636,0022000749,"APR 03, 2021",CLE @ MIA,L,38,4,8,0.5,2,4,0.5,2,2,1.0,2,2,4,8,2,0,3,3,12,-17,1,107.2,94.7,1.063,0.968,47.1,43.7,10.8,9.7,1.382,1.611,47.9,44.7,44.0,36.0
22020,1629636,0022000767,"APR 05, 2021",CLE @ SAS,W,30,14,22,0.636,5,10,0.5,4,4,1.0,0,1,1,7,2,1,1,2,37,20,1,111.7,126.3,1.087,1.146,49.5,52.6,11.4,11.7,1.848,1.750,58.5,70.0,38.2,36.0
22020,1629636,0022000785,"APR 08, 2021",CLE @ OKC,W,32,8,15,0.533,3,7,0.429,2,2,1.0,0,3,3,5,0,0,3,1,21,19,1,113.5,126.0,1.096,1.186,49.7,52.3,10.8,19.7,1.251,1.686,59.9,63.3,39.1,48.0
22020,1629636,0022000794,"APR 10, 2021",CLE vs. TOR,L,36,7,17,0.412,3,7,0.429,2,2,1.0,0,2,2,8,2,0,3,0,19,-9,1,111.8,111.0,1.086,1.080,49.0,48.4,11.5,10.0,1.724,1.500,49.8,54.0,41.9,42.0
22020,1629636,0022000829,"APR 14, 2021",CLE @ CHA,W,36,7,13,0.538,3,7,0.429,0,0,0.0,0,4,4,7,1,1,3,1,17,5,1,111.5,108.3,1.089,1.080,48.5,47.2,13.1,9.0,1.584,1.038,52.7,46.0,44.5,47.0
22020,1629636,0022000841,"APR 15, 2021",CLE vs. GSW,L,35,7,20,0.35,2,7,0.286,4,5,0.8,1,3,4,7,1,0,1,5,20,-2,1,113.7,108.3,1.076,1.023,49.4,48.6,12.8,12.7,1.671,1.520,55.9,64.0,37.6,28.0
22020,1629636,0022000857,"APR 17, 2021",CLE @ CHI,L,40,9,21,0.429,4,8,0.5,0,0,0.0,1,1,2,12,1,0,2,0,22,4,1,113.8,114.0,1.098,1.155,50.8,52.5,11.9,18.0,1.398,2.250,61.7,60.7,34.3,38.0
22020,1629636,0022000868,"APR 19, 2021",CLE @ DET,L,36,9,19,0.474,2,8,0.25,3,5,0.6,0,1,1,6,2,1,3,1,23,-9,1,111.4,108.3,1.092,1.027,50.4,49.1,11.5,8.3,1.477,0.781,59.7,68.7,34.7,23.0
22020,1629636,0022000881,"APR 21, 2021",CLE vs. CHI,W,29,8,13,0.615,4,4,1.0,5,5,1.0,0,2,2,4,2,0,3,2,25,18,1,113.2,106.0,1.096,1.100,50.6,48.9,11.9,16.3,1.405,2.130,61.4,54.0,34.2,39.0
22020,1629636,0022000900,"APR 23, 2021",CLE @ CHA,L,37,12,20,0.6,2,5,0.4,1,2,0.5,1,3,4,6,2,0,2,3,27,-3,1,111.4,106.0,1.093,1.108,48.7,49.3,13.4,16.7,1.618,2.500,52.5,51.3,44.6,42.0
22020,1629636,0022000197,"APR 25, 2021",CLE @ WAS,L,40,9,20,0.45,4,8,0.5,6,6,1.0,0,4,4,9,1,0,6,2,28,3,1,117.8,110.0,1.094,0.991,50.2,44.7,11.3,4.0,1.325,0.364,60.1,51.3,38.1,38.0
22020,1629636,0022000921,"APR 26, 2021",CLE @ TOR,L,34,5,13,0.385,1,5,0.2,2,2,1.0,0,2,2,10,1,0,3,1,13,-4,1,111.3,109.7,1.083,1.083,48.9,48.1,11.2,7.3,1.677,1.692,49.7,48.0,41.6,43.0
22020,1629636,0022000933,"APR 28, 2021",CLE vs. ORL,L,39,10,24,0.417,2,9,0.222,3,4,0.75,0,2,2,10,4,0,6,1,25,0,1,112.7,126.7,1.110,1.245,49.8,56.9,13.7,20.3,1.819,4.692,56.5,72.7,41.3,38.0
22020,1629636,0022000951,"APR 30, 2021",CLE vs. WAS,L,20,5,11,0.455,0,4,0.0,2,2,1.0,0,2,2,3,0,0,3,0,12,-3,1,118.0,121.0,1.096,1.151,50.5,55.0,11.1,7.3,1.314,1.048,60.7,74.0,37.5,26.0
22020,1629636,0022000204,"MAY 14, 2021",CLE @ WAS,L,12,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,2,1,0,1,0,3,5,1,118.8,125.7,1.098,1.111,50.6,52.7,10.9,12.3,1.322,1.947,61.6,75.3,37.4,27.0
